period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
158.113883008,0.771105412704,114105,0.00769350235666,0.93004485155,0.00487968252295,0.139573187166,0.00412952900635,2.98244166685e-05,3.40311506396,3.66944645324e-05,0,MODEL-INFERRED
177.406694617,0.771105412704,114105,0.0071250966174,0.926004353283,0.00397844429963,0.123240074529,0.00332994097655,2.21859690988e-05,2.53153000402,3.98299781189e-05,0,MODEL-INFERRED
199.053585277,0.771105412704,114105,0.0065986854171,0.919767369993,0.00320603001177,0.107356898074,0.00264889779609,1.62739136156e-05,1.85693491311,3.98299781189e-05,0,MODEL-INFERRED
223.341796075,0.771105412704,114105,0.00611116614581,0.909806396412,0.00255410964465,0.0922147169273,0.00207876213013,1.1771243963e-05,1.3431577924,3.98299781189e-05,0,MODEL-INFERRED
250.593616814,0.771105412704,114105,0.00565966541834,0.895237874828,0.00201204640247,0.0780971551925,0.00160971793013,8.39759509542e-06,0.958207588363,4.08681748896e-05,0,MODEL-INFERRED
281.170662595,0.771105412704,114105,0.00524152213887,0.872007338015,0.00156766664494,0.0651500151362,0.00122985795504,5.90821763288e-06,0.674157172999,4.68920330152e-05,0,MODEL-INFERRED
315.47867224,0.771105412704,114105,0.00485427181671,0.831351860655,0.00120847045835,0.0534456256594,0.000926801142334,4.09834856714e-06,0.467642063254,5.00066233275e-05,0,MODEL-INFERRED
353.972892192,0.771105412704,114105,0.00449563204088,0.781185292645,0.00092189768034,0.0431944432243,0.000689149723907,2.80427049815e-06,0.319981285192,5.31421369139e-05,0,MODEL-INFERRED
397.164117362,0.771105412704,114105,0.00416348902784,0.689755418902,0.000696032587499,0.0342830295838,0.000504915384119,1.89014556738e-06,0.215675059966,5.8374967316e-05,0,MODEL-INFERRED
445.625469067,0.771105412704,114105,0.00385588516304,0.586629428192,0.000519720197764,0.0267731765815,0.000364070186805,1.25360090357e-06,0.143042131102,6.15104809024e-05,0,MODEL-INFERRED
